职位,公司,地区,学历,岗位,薪资,福利,工作经验,链接
['高级软件工程师'],['东莞市顾学软件科技有限公司'],['龍崗'],['\n大专                        '],"['岗位职责：', '1.      负责公司系统技术方案、开发、维护、运作', '2.      参与项目需求分析，撰写文档，进行系统框架和模块的设计，并提出相关技术可行性方案', '3.      具有良好的动手能力，完成产品功能和性能测试，协助处理项目实施过程中的软硬件问题', '4.      指导初级软件工程师完成工作任务', '岗位要求：', '1.      本科或以上学历，计算机软件或相关专业，对于能力特别优异者，可忽略此条件', '2.      3-5年开发工作经验，有实际带领项目的经验', '3.      前端： Javascript, Css, Angular/vue/React 框架，canvas,', '4.      后端：Java (Spring, hibernate框架)', '5.      数据库 : MYSQL 及 redis', '6.      伺服器： Linux命令，shell脚本，nginx', '7.      具备第三方SDK接口开发经验，如微信支付、微信分享、支付宝支付；', '8.      熟悉WebSocket', '9.      懂得直播技术优先', '10.    熟悉教育软件开发优先考虑', '11.   有很强的分析问题和解决问题的能力，具有Can-Do态度，有强烈的责任心', '12.   有团队精神，良好的抗压能力，心态积极，能主动融入团队', '13.   对业界最新的工具和技术有强烈的求知欲，工作热情主动，能够从工作中找到乐趣', '福利待遇:', '1.      劳工福利： 签订正式《劳动合同》、五险一金等；', '2.      奖金分红： 定期按工作表现和公司盈利分红；', '3.      节假年假：我们为员工提供除法律规定的公休假日及婚假、产假、病假等法定休假外，试用期后可享有根据工龄5-15天的带薪年假；', '4.      工作环境：工作环境温馨、舒适，员工之间关系和谐平等，对待新员工关心、友爱；', '5.      定期培训：定期举行公司研讨会形式培训； \n                ']",['1.5万-2万/月'],"['五险一金', '年终分红', '带薪年假']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC846879260J00281505907/
['大数据技术经理'],['北京宸瑞科技股份有限公司'],['北京市海淀区成府路270号中科科仪园区6号楼'],['\n大专                        '],"['岗位职责：', '1、负责大数据管理平台、数据分析挖掘系统的技术架构设计和开发工作；', '2、负责海量数据处理性能、分布式集群稳定性的调优工作；', '3、负责从数据采集到数据应用的整体流程设计及开发工作；', '4、负责解决核心技术问题；', '5、参与公司技术方向的决策与预言；', '职位要求：', '工作经验：5年以上项目开发经验，其中大数据项目开发经验3年以上；', '项目经验：参与过3个以上大型项目的架构设计和开发，具有大数据（TB级）处理性能及集群架构稳定性的调优经验，具有spark挖掘算法开发经验。', '学历：本科及以上学历，计算机相关专业', '技能要求：熟练掌握Java开发技术，熟练掌握Hadoop技术原理及技术生态圈（spark，solr、es、hive、kafka、storm、redis、sqoop等），具有大数据处理性能及集群架构稳定性的调优能力。', '\n                ']",['3万-3.5万/月'],"['年底双薪', '加班补助', '交通补助', '餐补', '带薪年假', '定期体检', '节日福利']",['\n10年以上                            \n                        '],https://m.zhaopin.com/jobs/CC273811919J90251623000/
['大数据开发工程师[福州]'],['天目数据(福建)科技有限公司'],['福建省福州市马尾区江滨东大道海峡金融大厦18F'],['\n本科                        '],"['岗位职责', '1、负责产品构建及应用开发。', '2、支持大数据项目相关开发任务。', '3、产品相关前沿技术跟踪与研发。', '4、产品相关的其他任务。', '5. 可以接受外派到异地，协助工作沟通。', '任职资格', '1、计算机、数学及相关专业本科以上。', '2、拥有实际的1年以上大数据项目开发经验。', '3、熟悉python语言。', '4、熟悉Hadoop、Spark生态圈上的各种应用的几种，MapReduce、Hbase、Hive、Spark-SQL、Spark ML、Graphx等。', '5、对机器学习原理有基本认识，有数据建模的经验，能根据项目需要进行算法模型的选择与开发，熟悉关系型数据库Oracle, 有hbase数据库使用经验更佳。', '6、良好的团队合作，较强的沟通能力，对解决挑战型问题充满激情。', '7、优秀毕业生可放宽相关要求。\n                ']",['8千-1.3万/月'],"['周末双休', '全勤奖', '定期体检', '补充医疗保险', '节日福利', '每年多次调薪', '14薪', '五险一金']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CZ478351480J00301447405/
['大数据研发工程师'],['天目数据(福建)科技有限公司'],['福建省福州市马尾区江滨东大道海峡金融大厦18F'],['\n本科                        '],"['岗位职责：', '1、协调并指导团队成员完成部门大数据相关项目的设计研发等工作；', '2、负责部门的大数据项目的设计、开发和文档编写工作。', '3、负责部门大数据挖掘分析的算法分析、设计工作。', '4、负责项目上线时大数据框架的搭建，调优工作。', '5、负责大数据前沿技术、开源项目等学习研究，将前沿新技术、开源项目等应用落地到项目中。', '6、负责各类大数据工具的比对选型工作，完成大数据基础架构的搭建等工作；', '岗位要求：', '1、本科及以上学历，计算机或数学相关专业；', '2、五年以上大数据行业从业经验， 熟悉大数据相关技术体系，有大数据实际项目技术开发经验（hadoop,druid.io,storm,spark，elasticsearch等)；', '3、精通java/python编程语言，熟练掌握常用的数据结构和算法；', '4、熟悉常见的开源框架，对新技术敏感，具有良好的系统分析、架构设计能力；', '5、熟悉Linux/unix操作系统,能针对所使用的大数据框架对系统参数进行调优；', '6、熟悉linux/UNIX shell、熟悉(Perl/python /shell)任意一种脚本语言。', '\n                ']",['1万-2万/月'],"['周末双休', '全勤奖', '定期体检', '补充医疗保险', '节日福利', '每年多次调薪', '14薪', '五险一金']",['\n5-10年                            \n                        '],https://m.zhaopin.com/jobs/CZ478351480J00157272405/
['大数据实施工程师[福州]'],['天目数据(福建)科技有限公司'],['福建省福州市马尾区江滨东大道海峡金融大厦18F'],['\n本科                        '],['\n                '],['8千-1.3万/月'],"['周末双休', '全勤奖', '定期体检', '补充医疗保险', '节日福利', '每年多次调薪', '14薪', '五险一金']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CZ478351480J00302200705/
['大数据平台产品经理'],['天目数据(福建)科技有限公司'],['福建省福州市马尾区江滨东大道海峡金融大厦18F'],['\n本科                        '],"['岗位职责：', '1、负责公司大数据平台的产品规划、设计及生命周期管理；', '2、负责与合作部门、用户收集产品需求，确定业务解决方案，制定产品原型，编写相关的需求文档，不断优化产品，提升产品服务效率和质量；', '3、负责产品的项目管理工作，把控项目进度、方向及实施质量等；', '4、负责大数据平台的品牌包装及推广运营。', '岗位要求：', '1、本科以上学历，计算机相关专业，2年以上产品经验；', '2、有较强的沟通能力、逻辑思维和需求分析能力，以及产品设计相关工具的应用能力和解决方案制定能力；', '3、熟悉互联网项目研发流程，熟悉敏捷开发，熟悉持续集成以及测试流程、发布流程等，有电商平台或大数据平台产品工作经验者最佳；', '4、了解基本的互联网实现技术和前后台实现逻辑；', '5、具备一定的平台运营思维能力，熟悉主流平台的运营策略；', '6、结果导向、快速执行、自我驱动；', '7、熟练掌握Office办公软件、Axure、思维导图、Visio等设计软件；\n                ']",['8千-1.5万/月'],"['周末双休', '全勤奖', '定期体检', '补充医疗保险', '节日福利', '每年多次调薪', '14薪', '五险一金']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CZ478351480J00172669205/
['大数据分析师'],['天目数据(福建)科技有限公司'],['江滨东大道海峡金融大厦18楼'],['\n本科                        '],"['1. 负责推荐系统算法设计；', '2. 负责自然语言处理和机器学习相关的算法研究、内核开发工作；', '3. 运用机器学习、数据挖掘算法，解决海量数据分析、挖掘方面的业务需求。', '岗位要求：', '1. 计算机、数学、统计、通信等相关专业本科及以上学历;', '2. 熟悉概率与统计、机器学习经典算法；', '3. 熟悉Python或R语言；', '4. 有海量数据数据挖掘与机器学习相关工作经验者优先；', '5. 喜欢挑战，热爱跨界，享受团队协作。', '6．有Hadoop，Spark，Tensor flow的开发经验，熟悉Linux优先。7、有大数据分析经验者、金融、电力、网络安全领域工作经验者优先。 8、有良好的职业道德，具备团队合作精神和沟通能力，高度的责任心。\n                ']",['1.5万-3万/月'],"['周末双休', '全勤奖', '定期体检', '补充医疗保险', '节日福利', '每年多次调薪', '14薪', '五险一金']",['\n1-3年                            \n                        '],https://m.zhaopin.com/jobs/CZ478351480J00224712205/
['公有云大数据平台高级研发工程师'],['浪潮集团有限公司'],['浪潮大厦'],['\n本科                        '],[],['2.2万-4.4万/月'],"['五险一金', '节日福利', '定期体检', '带薪年假', '通讯补贴']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC120143601J00136783213/
['成都大数据高级工程师'],['北京高信达通信科技股份有限公司'],['天府大道北段16中国联通办公大楼'],['\n大专                        '],"['1、基于Hadoop及相关组件SPARK、HIVE、Storm、Hbase等进行开发和分析业务。', '2、业务数据收集整理，结合业务对多种数据源进行深度组合分析、挖掘。', '3、参与Haddop大数据平台产品的现场部署、调优和运维。', '4、了解前端开发：JavaScript-Jquery         ', '5、了解前端开发： MVC     ', '6、熟练设计规范： RESTful规范        ', '7、熟练设计规范： JSON交互协议   ', '8、熟练开发技术： Java编程语言     ', '9、熟练开发技术： SpringFramework        ', '10、熟练开发技术： 缓存技术-Redis/MemCache     ', '11、熟练开发技术： 消息队列-Kafka/RabbitMQ/ActiveMQ     ', '12、了解开发技术： NoSQLDB-Cassandra/MongoDB       ', '13、了解开发技术： 搜索引擎-ES/Solr       ', '14、熟练数据库： SQL语言        ', '15、熟练数据库： 常用数据库(MySQL/Oracle/GP)   ', '16、熟练数据库： 索引技术和SQL优化   ', '17、了解数据库： Sharding,Partition         ', '18、精通大数据：Hadoop(HDFS/Hbase/Hive)   ', '19、精通大数据： Spark(SparkSQL)    ', '20、精通大数据： Storm     ', '21、熟练软件部署： Linux-操作命令，Shell脚本     ', '22、熟练软件部署： 应用服务器(Tomcat/WebLogic/WebSphere)    ', '23、数据仓库         ', '24、精通Hbase      ', '25、精通Hive         ', '26、熟练Sqoop      ', '27、熟练Kafka       ', '28、熟练Flume      ', '29、精通Oracle     ', '30、有机器学习经验者优先考虑', '31、有安全经验者优先考虑', '32、完成领导交办的其它工作。\n                ']",['1.7万-2.2万/月'],"['五险一金', '加班补助', '交通补助', '带薪年假', '不加班']",['\n5-10年                            \n                        '],https://m.zhaopin.com/jobs/CC120078326J00140789313/
['大数据/AI技术人员（5G数据）'],['天云融创数据科技(北京)有限公司'],['北京朝阳区东四十条富华大厦AB座11层'],['\n本科                        '],"['五季数据科技（北京）有限公司是一家专注于石油行业的高科技公司，成立于2018年8月，公司专注于石油企业大数据和人工智能技术应用。帮助石油行业提高效率，用新方法解决实际问题。', '为适应公司业务快速增长需要，特诚邀有识之士加盟。', '主要工作职责：', '1）负责公司AI平台及技术、AI产品研发；', '2）负责石油AI产品设计与研发；', '3）参与或负责项目实施与建设；', '4）为售前提供技术支持、售前技术方案编制、客户技术交流、培训。', '任职要求：', '1）软件研发大学及以上学历，或数学专业大学及以上学历；应届生亦可；', '2）有3年以上工作经验者优先；有大数据或AI工作经验者优先。', '3）工作地点：北京， 薪资标准：面谈。\n                ']",['1.2万-2.4万/月'],"['五险一金', '绩效奖金']",['\n3-5年                            \n                        '],https://m.zhaopin.com/jobs/CC620333526J00109576212/
